ID	TIP	KUS_UCUSU_MESAFE
112465	1	278976.343750
113033	1	276152.531250
114421	1	276745.156250
114992	1	279881.937500
116613	1	277519.531250
117630	1	276933.250000
119828	1	276471.906250
119903	1	276202.375000
119904	1	276164.781250
119905	1	276728.125000
119967	1	276744.218750
120030	2	280120.375000
120128	1	276490.625000
120149	1	276422.500000
120240	2	279805.468750
120242	2	280709.031250
120302	1	276979.000000
120304	1	278476.593750
120333	1	276577.656250
120338	2	276732.125000
120339	2	277639.125000
120404	2	277537.625000
120413	1	279059.843750
120428	1	276361.062500
120443	2	277267.093750
120478	1	279872.718750
120480	1	278814.437500
120483	1	278853.281250
120503	1	277634.875000
120550	1	275905.562500
120552	2	276190.781250
120576	2	279987.906250
120587	1	278294.437500
120609	2	278737.375000
120613	1	279931.875000
120651	1	279082.187500
120652	1	279156.500000
120654	2	277724.218750
120657	1	278173.750000
120711	1	278278.562500
120726	2	284940.500000
120727	2	284013.250000
120728	2	285991.687500
120753	1	279073.593750
120755	1	279778.531250
120759	1	276969.125000
120761	1	279593.531250
120819	1	276777.562500
120834	1	279933.593750
120917	1	279830.906250
120943	2	280756.250000
120944	2	280821.250000
120946	1	277161.187500
120990	2	278648.625000
121058	2	277912.843750
121062	2	276631.656250
121070	1	278415.937500
121139	2	279809.062500
121160	3	279773.906250
121252	2	286416.781250
121286	2	277366.906250
121292	1	279931.156250
121558	2	282822.375000
121559	2	282914.812500
121655	2	283419.281250
121656	2	283511.843750
121657	2	283600.562500
121658	2	283689.593750
121680	1	277750.312500
121752	1	278520.062500
121806	2	283143.062500
121807	2	283228.968750
121808	1	276625.125000
121879	1	278671.781250
121956	2	277626.187500
122019	1	277890.218750
122022	1	276879.937500
122026	1	279156.250000
122028	1	279042.343750
122095	1	275943.593750
122099	1	279541.531250
122161	1	278772.593750
122162	1	278662.437500
122163	1	278566.875000
122164	1	278356.812500
122169	1	278525.781250
122171	1	277410.218750
122180	2	278923.968750
122232	1	279332.656250
122245	2	279721.031250
122313	2	279868.500000
122314	2	276991.500000
122316	1	279572.000000
122322	2	279975.156250
122381	2	279851.187500
122413	1	279149.500000
122414	1	279146.968750
122482	2	280131.812500
122484	2	280670.968750
122576	2	279835.125000
122590	2	279616.375000
122660	2	280274.468750
122661	2	280228.812500
122750	2	280178.125000
122751	2	280128.843750
122787	2	280708.843750
122827	1	278270.812500
122828	1	278202.406250
122829	1	278161.250000
123088	2	283776.625000
123089	2	283863.312500
123090	2	283952.687500
123131	3	277370.250000
123214	1	278786.218750
123215	2	278705.156250
123219	2	280627.875000
123298	2	279387.593750
123398	2	280533.906250
123399	2	280469.656250
123400	2	280419.531250
123402	2	280368.187500
123670	2	280318.906250
123803	2	280078.906250
123804	2	280028.750000
123805	2	279979.156250
123806	2	279932.375000
123807	2	279882.593750
124165	2	280813.750000
124487	1	278850.375000
124536	1	278824.093750
124552	2	283328.343750
124620	2	279785.406250
124621	2	279720.656250
124708	2	279716.156250
124709	2	279752.593750
124711	2	279783.500000
124712	2	279796.531250
124737	2	285545.718750
124791	2	281129.343750
124828	2	284265.500000
124892	2	284369.250000
124893	2	284473.375000
124894	2	284587.625000
124895	2	284668.406250
124896	2	284766.562500
124897	2	284852.531250
124905	2	285848.906250
124906	2	285753.656250
124907	2	285654.156250
125246	2	282178.531250
125247	2	280079.250000
125263	2	281444.750000
125264	2	281363.500000
125265	2	281293.781250
125266	2	281224.968750
125314	2	280029.093750
125315	2	279979.843750
125316	2	279932.718750
125317	2	279882.937500
125318	2	279835.437500
125403	2	282228.375000
125583	2	280813.593750
125584	2	280831.406250
125585	2	280851.906250
125586	2	280830.875000
125587	2	282572.437500
125588	2	282474.875000
125589	2	282377.562500
125675	2	281770.406250
125676	2	281825.187500
125758	2	282281.125000
125759	2	282641.375000
125765	2	279567.687500
125830	2	280368.875000
125831	2	280319.250000
125832	2	280274.812500
125855	2	282715.406250
125951	2	281880.000000
126202	2	281973.625000
126203	2	281528.937500
126354	2	286225.750000
126365	2	280628.218750
126366	2	280585.500000
126367	2	280534.406250
126368	2	280470.000000
126433	2	280419.875000
126475	2	282077.875000
126519	2	280229.500000
126520	2	280178.812500
126521	2	280129.031250
126544	2	281692.375000
126545	2	281615.062500
126775	2	279514.281250
126776	2	279670.968750
127631	2	279514.781250
127632	2	279568.375000
127633	2	279671.343750
127714	2	279387.250000
127715	2	279615.687500
127716	2	279453.375000
128488	1	280453.750000
129702	2	276724.656250
134289	1	276567.125000
134296	1	276490.375000
134346	1	276653.531250
134432	2	279711.156250
134492	1	276810.031250
134493	1	276823.125000
134495	1	276240.937500
134496	1	276195.937500
134497	1	276224.093750
134498	1	276252.218750
134499	1	276270.093750
134526	3	279767.375000
134527	3	279758.625000
134528	3	279749.343750
134529	3	279725.812500
134530	3	279731.562500
134552	1	279366.875000
134602	1	276916.437500
134603	1	276882.343750
134604	1	276854.812500
134605	1	276833.812500
134606	1	276803.593750
134613	1	276718.968750
134614	1	276779.406250
134661	1	277744.125000
134698	1	276707.781250
134703	1	276124.375000
134796	1	276098.375000
134849	1	279726.125000
134851	1	278437.656250
134867	1	278224.187500
134925	3	279582.718750
134926	3	279631.531250
134927	3	279667.593750
134936	2	276496.656250
135011	1	277306.000000
135012	1	276702.343750
135014	2	276448.375000
135073	1	277270.250000
135074	1	277240.125000
135075	1	277454.343750
135076	1	277460.968750
135077	1	277472.750000
135078	1	277481.843750
135089	3	279714.593750
135090	2	279704.562500
135101	1	278987.781250
135257	1	277396.156250
135271	1	279794.718750
135348	1	276765.000000
135515	1	277382.968750
135516	1	277394.343750
135517	1	277394.875000
135518	1	277398.156250
135589	2	277118.156250
135590	2	277136.250000
135591	2	277165.718750
135598	2	276236.125000
135599	2	276284.406250
135600	2	276302.250000
135615	2	277974.125000
135624	1	278714.906250
135625	1	278672.000000
135626	1	278636.500000
135627	1	278579.343750
135629	1	278402.000000
135641	1	277697.093750
135661	1	278662.156250
135662	1	278690.375000
135663	1	278763.406250
135664	1	278820.468750
135665	1	278870.562500
135666	1	278919.593750
135667	2	277380.843750
135668	2	277358.406250
135669	2	277343.093750
135670	1	276828.875000
135699	1	275948.156250
135712	3	279712.218750
135750	1	276980.406250
135751	1	276989.093750
135752	1	276940.875000
135753	1	276880.406250
135754	1	276642.156250
135755	1	276708.312500
135756	1	276749.437500
135760	2	278649.687500
135761	2	278605.562500
135762	2	278577.875000
135776	1	279191.906250
135777	1	279231.187500
135778	1	279261.687500
135779	1	279306.750000
135780	1	279349.750000
135786	2	277215.343750
135787	2	277260.312500
135792	2	276733.906250
135793	2	276720.843750
135840	1	278947.468750
135851	1	279572.250000
135852	1	279631.718750
135853	2	277295.906250
135854	2	277315.968750
135855	2	277328.125000
135856	1	279746.968750
135857	1	279920.593750
135858	1	279916.781250
135870	1	279883.718750
135871	1	279876.187500
135872	2	280757.906250
135917	1	279663.500000
135932	1	280026.062500
135933	1	280105.781250
135934	1	280054.500000
135935	1	280037.000000
135936	1	279940.875000
135937	1	279970.500000
135938	1	280016.718750
135949	2	277383.218750
135950	2	277346.500000
135951	2	277434.718750
136004	1	279969.562500
136143	1	277364.625000
136144	1	277363.375000
136145	1	277371.687500
136158	1	276293.000000
136205	1	278118.093750
136206	2	277883.250000
136207	2	277824.468750
136208	2	277779.156250
136209	2	277742.250000
136210	2	277704.031250
136226	2	279979.125000
136294	2	276614.593750
136297	1	278924.843750
136303	1	278938.281250
136360	1	279683.937500
136362	1	279711.437500
136364	2	280719.718750
136365	2	280685.656250
136366	1	280633.218750
136452	1	277901.156250
136453	1	277860.500000
136454	1	277828.843750
136455	1	277789.781250
136512	1	277353.593750
136513	1	279779.781250
136526	1	276117.406250
136527	1	276077.906250
136528	1	276023.531250
136529	1	275988.875000
136574	2	279749.125000
136575	2	279803.531250
136595	1	278824.468750
136606	1	278752.062500
136625	1	276607.906250
136626	1	279418.062500
136627	1	279452.156250
136637	2	280013.343750
136638	2	279963.656250
136644	1	276582.781250
136646	1	276634.093750
136661	2	279826.562500
136662	2	279810.093750
136671	1	280322.062500
136672	1	280137.812500
136673	1	280159.687500
136679	2	278444.843750
136680	2	278472.625000
136681	2	278492.781250
136692	1	279481.593750
136693	1	279572.437500
136694	1	279625.593750
136695	1	279549.125000
136696	1	275913.843750
136697	1	275872.031250
136698	1	275855.343750
136699	1	275879.750000
136707	1	279914.312500
136711	1	279895.812500
136746	1	276390.093750
136747	1	276444.687500
136758	2	276601.687500
136759	2	276648.437500
136760	2	276688.937500
136838	2	279961.031250
136839	2	279934.500000
136840	2	279916.000000
136851	1	276517.812500
136852	1	276502.531250
136853	1	276584.000000
136887	1	279602.562500
136889	2	277491.281250
136924	1	279164.562500
136925	1	278979.187500
136926	1	278987.312500
136943	1	276428.937500
136944	1	276492.656250
136945	1	276521.187500
136946	1	276556.750000
136962	1	276973.468750
136973	1	276767.968750
136982	1	277588.937500
136985	1	276161.812500
136986	1	276178.937500
136987	1	276136.937500
136996	2	276847.812500
137079	1	279695.500000
137140	1	279649.281250
137143	1	276624.437500
137169	1	279651.031250
137212	1	276724.000000
137214	1	276737.406250
137215	1	276718.593750
137247	1	279631.312500
137248	1	279603.656250
137249	1	279646.812500
137250	1	279687.250000
137251	1	279719.218750
137276	1	276478.937500
137277	1	276466.281250
137278	1	276427.625000
137307	2	280493.843750
137308	1	279749.406250
137309	1	276683.343750
137322	1	277602.562500
137323	2	277541.937500
137324	2	277488.750000
137325	2	277427.500000
137361	1	276937.937500
137362	1	277116.125000
137363	1	277143.406250
137364	1	277178.531250
137365	1	277060.000000
137366	1	277107.187500
137367	1	277018.250000
137368	1	276157.000000
137389	1	277541.843750
137390	1	277500.750000
137391	1	277461.062500
137440	1	279542.093750
137453	1	277577.593750
137457	1	276979.750000
137459	1	276604.968750
137462	1	279835.968750
137463	1	279809.812500
137464	1	279769.093750
137465	1	279762.437500
137466	1	279787.093750
137513	2	279725.156250
137515	2	279774.812500
137524	1	276637.125000
137538	1	278938.187500
137539	1	278882.281250
137567	1	277016.343750
137573	1	279917.156250
137574	1	279930.375000
137575	1	279951.843750
137578	1	278956.593750
137585	1	276975.781250
137587	1	276979.281250
137610	1	277739.218750
137611	1	277685.812500
137612	1	277644.875000
137664	3	277364.968750
137665	1	279997.281250
137715	1	278341.250000
137716	1	278278.812500
137717	1	278247.968750
137718	1	278266.187500
137726	1	277006.312500
137729	2	280462.843750
137731	1	280518.343750
137732	1	280576.593750
137733	1	280471.125000
137734	1	280415.656250
137744	2	277735.875000
137745	2	277687.875000
137746	2	277657.531250
137761	1	279672.062500
137770	1	279051.625000
137771	1	279030.281250
137772	1	279010.656250
137773	1	278990.968750
137782	3	277335.656250
137798	1	280383.656250
137799	1	280323.843750
137802	2	278458.843750
137803	2	278400.843750
137804	2	278371.406250
137805	2	278270.375000
137806	2	278298.281250
138121	1	279344.843750
138147	1	277008.812500
138148	2	278009.343750
138152	1	276942.218750
138191	1	277519.656250
138192	1	277548.843750
138193	1	277582.843750
138194	1	277471.937500
138195	1	277511.812500
138276	1	279813.406250
138284	1	276579.937500
138290	1	278917.375000
138372	1	278304.156250
138373	2	279909.375000
139454	1	277080.312500
139476	1	276428.062500
139477	1	276461.156250
139478	1	276431.031250
139523	1	276180.062500
139545	1	276278.875000
4464274	1	278164.875000
4464276	1	278591.562500
4464277	1	276619.843750
4469213	1	282842.718750
4473055	2	277365.937500
4476795	2	277803.750000
4477436	2	277264.093750
4478174	2	277883.531250
4483774	1	276388.156250
4501891	2	276808.250000
4505481	2	278862.656250
4505483	2	278894.906250
4506588	2	280585.125000
4507902	1	276747.406250
4516362	1	277409.656250
4516382	1	277371.843750
4516402	1	277320.250000
4516404	1	277310.375000
4516442	1	277323.593750
4527538	1	278441.531250
4527540	1	278476.125000
4528602	2	277836.468750
4528610	2	277370.593750
4528612	3	277371.125000
4528614	2	276631.562500
4531210	2	278574.218750
4531222	2	278720.843750
4531224	2	278609.875000
4531226	2	278654.750000
4534946	1	278186.031250
4535518	1	276520.375000
4535520	1	276516.750000
4535523	1	276483.625000
4535525	1	276437.781250
4535527	1	276381.937500
4544884	1	277702.406250
4561183	1	276474.593750
4561592	1	276548.562500
4565351	2	278754.281250
4567615	1	277119.718750
4567617	1	277141.593750
4572727	1	279500.906250
4573001	2	280755.750000
4573003	2	280790.312500
4573005	2	280839.218750
4573007	2	280877.593750
4573009	2	280928.781250
4573015	2	281060.656250
4573017	2	281086.531250
4575106	2	280669.687500
4575652	1	278677.281250
4575740	1	278690.187500
